t_sec,phase,F_ext_x,F_ext_y,F_ext_z,correction_x_mm,correction_y_mm,correction_z_mm,tool_rot_x_deg,tool_rot_y_deg,tool_rot_z_deg
0.0012,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9993,0.0002,179.9090
0.0021,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9993,0.0002,179.9090
0.0138,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9993,0.0002,179.9090
0.0245,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9993,0.0002,179.9090
0.0319,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9993,0.0002,179.9090
0.0424,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9993,0.0002,179.9090
0.0521,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9993,0.0002,179.9090
0.0619,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9993,0.0002,179.9090
0.0732,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9993,0.0002,179.9090
0.0828,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9993,0.0002,179.9090
0.0919,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9990,-0.0006,179.9090
0.1023,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9990,-0.0006,179.9090
0.1127,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9985,-0.0016,179.9090
0.1228,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9991,-0.0003,179.9090
0.1327,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9991,-0.0003,179.9090
0.1425,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9987,-0.0012,179.9089
0.1523,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9985,-0.0015,179.9089
0.1621,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9985,-0.0015,179.9089
0.1720,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9987,-0.0010,179.9088
0.1825,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9992,-0.0000,179.9091
0.1924,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9992,-0.0000,179.9091
0.2022,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9996,0.0009,179.9091
0.2121,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9994,0.0005,179.9091
0.2224,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9994,0.0005,179.9091
0.2325,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9993,0.0004,179.9087
0.2432,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9993,0.0004,179.9087
0.2527,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9993,0.0004,179.9087
0.2627,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9989,-0.0005,179.9086
0.2732,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9987,-0.0010,179.9090
0.2826,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9987,-0.0010,179.9090
0.2928,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9983,-0.0018,179.9089
0.3024,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9987,-0.0009,179.9089
0.3144,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9987,-0.0009,179.9089
0.3226,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9985,-0.0012,179.9088
0.3323,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9989,-0.0003,179.9085
