t_sec,phase,F_ext_x,F_ext_y,F_ext_z,correction_x_mm,correction_y_mm,correction_z_mm,tool_rot_x_deg,tool_rot_y_deg,tool_rot_z_deg
0.0014,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9704,-0.0895,179.9102
0.0122,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9704,-0.0895,179.9102
0.0207,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9704,-0.0895,179.9102
0.0297,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9704,-0.0895,179.9102
0.0395,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9704,-0.0895,179.9102
0.0489,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9704,-0.0895,179.9102
0.0591,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9704,-0.0895,179.9102
0.0689,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9704,-0.0895,179.9102
0.0795,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9704,-0.0895,179.9102
0.0895,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9704,-0.0895,179.9102
0.0994,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9704,-0.0895,179.9102
0.1095,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9704,-0.0895,179.9102
0.1195,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9704,-0.0895,179.9102
0.1298,approaching,0.0000,0.0000,0.2091,0.0000,0.0000,0.0000,179.9703,-0.0899,179.9102
0.1395,approaching,0.0000,0.2037,0.2191,0.0000,0.0000,0.0000,179.9695,-0.0917,179.9102
0.1497,approaching,0.0000,0.2124,0.2285,0.0000,0.0000,0.0000,179.9695,-0.0917,179.9102
0.1602,approaching,0.0000,0.2208,0.2375,0.0000,0.0000,0.0000,179.9698,-0.0909,179.9101
0.1704,approaching,0.0000,0.2287,0.2460,0.0000,0.0000,0.0000,179.9701,-0.0902,179.9101
0.1795,approaching,0.0000,0.2363,0.2542,0.0000,0.0000,0.0000,179.9701,-0.0902,179.9101
0.1900,approaching,0.0000,0.2434,0.2619,0.0000,0.0000,0.0000,179.9702,-0.0899,179.9101
0.1992,approaching,0.0000,0.2502,0.2692,0.0000,0.0000,0.0000,179.9705,-0.0894,179.9100
0.2091,approaching,0.0000,0.2567,0.2761,0.0000,0.0000,0.0000,179.9705,-0.0894,179.9100
0.2191,approaching,0.0000,0.2628,0.2827,0.0000,0.0000,0.0000,179.9707,-0.0889,179.9100
0.2304,approaching,0.0000,0.2687,0.2890,0.0000,0.0000,0.0000,179.9703,-0.0897,179.9100
0.2390,approaching,0.0000,0.2742,0.2950,0.0000,0.0000,0.0000,179.9703,-0.0897,179.9100
0.2490,approaching,0.0000,0.2795,0.3006,0.0000,0.0000,0.0000,179.9704,-0.0896,179.9100
0.2601,approaching,0.0000,0.2845,0.3060,0.0000,0.0000,0.0000,179.9701,-0.0902,179.9100
0.2695,approaching,0.0000,0.2892,0.3111,0.0000,0.0000,0.0000,179.9701,-0.0902,179.9100
0.2797,approaching,0.0000,0.2937,0.3160,0.0000,0.0000,0.0000,179.9701,-0.0902,179.9099
0.2894,approaching,0.0000,0.2980,0.3206,0.0000,0.0000,0.0000,179.9703,-0.0896,179.9099
0.2997,approaching,0.0000,0.3021,0.3249,0.0000,0.0000,0.0000,179.9703,-0.0896,179.9099
0.3098,approaching,0.0000,0.3059,0.3291,0.0000,0.0000,0.0000,179.9701,-0.0901,179.9099
0.3193,approaching,0.0000,0.3096,0.3331,0.0000,0.0000,0.0000,179.9702,-0.0900,179.9099
0.3299,approaching,0.0000,0.3131,0.3368,0.0000,0.0000,0.0000,179.9702,-0.0900,179.9099
0.3397,approaching,0.0000,0.3164,0.3404,0.0000,0.0000,0.0000,179.9699,-0.0906,179.9098
0.3495,approaching,0.0000,0.3196,0.3438,0.0000,0.0000,0.0000,179.9702,-0.0898,179.9098
0.3597,approaching,0.0000,0.3226,0.3470,0.0000,0.0000,0.0000,179.9702,-0.0898,179.9098
0.3693,approaching,0.0000,0.3254,0.3501,0.0000,0.0000,0.0000,179.9698,-0.0909,179.9098
0.3793,approaching,0.0000,0.3281,0.3530,0.0000,0.0000,0.0000,179.9697,-0.0911,179.9098
0.3895,approaching,0.0000,0.3307,0.3557,0.0000,0.0000,0.0000,179.9697,-0.0911,179.9098
