t_sec,phase,F_ext_x,F_ext_y,F_ext_z,correction_x_mm,correction_y_mm,correction_z_mm,tool_rot_x_deg,tool_rot_y_deg,tool_rot_z_deg
0.0011,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9993,-0.0000,179.9084
0.0059,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9993,-0.0000,179.9088
0.0171,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9993,-0.0000,179.9088
0.0258,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9993,-0.0000,179.9088
0.0357,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9993,-0.0000,179.9088
0.0453,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9993,-0.0000,179.9088
0.0553,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9993,-0.0000,179.9088
0.0653,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9993,-0.0000,179.9088
0.0753,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9993,-0.0000,179.9088
0.0859,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9993,-0.0000,179.9088
0.0960,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9993,-0.0000,179.9088
0.1058,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9986,-0.0016,179.9087
0.1163,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9986,-0.0016,179.9087
0.1260,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9981,-0.0027,179.9083
0.1361,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9978,-0.0033,179.9083
0.1459,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9978,-0.0033,179.9083
0.1563,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9978,-0.0031,179.9082
0.1656,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9981,-0.0024,179.9082
0.1762,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9981,-0.0024,179.9082
0.1861,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9986,-0.0012,179.9082
0.1959,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9994,0.0007,179.9085
0.2063,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9994,0.0007,179.9085
0.2161,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9986,-0.0010,179.9081
0.2257,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9991,0.0001,179.9080
0.2361,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9991,0.0001,179.9080
0.2461,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9981,-0.0021,179.9080
0.2559,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9991,-0.0012,179.9079
0.2659,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9991,-0.0012,179.9079
0.2758,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9995,-0.0001,179.9082
0.2857,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9999,0.0008,179.9078
0.2959,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9999,0.0008,179.9078
0.3059,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-179.9998,0.0017,179.9078
0.3159,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-179.9998,0.0018,179.9077
0.3259,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-179.9998,0.0018,179.9077
0.3359,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-179.9999,0.0016,179.9077
0.3458,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-179.9999,0.0017,179.9076
0.3562,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-179.9999,0.0017,179.9076
0.3658,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9988,-0.0011,179.9076
0.3757,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9987,-0.0014,179.9076
0.3859,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9987,-0.0014,179.9076
0.3958,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9988,-0.0010,179.9079
0.4058,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9988,-0.0010,179.9079
