t_sec,phase,F_ext_x,F_ext_y,F_ext_z,correction_x_mm,correction_y_mm,correction_z_mm,tool_rot_x_deg,tool_rot_y_deg,tool_rot_z_deg
0.0017,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9998,0.0009,179.9087
0.0065,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9998,0.0009,179.9087
0.0166,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9998,0.0009,179.9087
0.0269,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9998,0.0009,179.9087
0.0366,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9998,0.0009,179.9087
0.0466,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9998,0.0009,179.9087
0.0569,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9998,0.0009,179.9087
0.0674,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9998,0.0009,179.9087
0.0771,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9998,0.0009,179.9087
0.0873,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9998,0.0009,179.9087
0.0975,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9996,0.0007,179.9087
0.1077,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9996,0.0007,179.9087
0.1171,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9997,0.0009,179.9087
0.1279,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,180.0000,0.0016,179.9086
0.1368,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,180.0000,0.0016,179.9086
0.1467,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9999,0.0012,179.9086
0.1572,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9999,0.0013,179.9086
0.1679,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9999,0.0013,179.9086
0.1774,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-179.9997,0.0021,179.9085
0.1878,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-179.9992,0.0034,179.9085
0.1975,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-179.9992,0.0034,179.9085
0.2075,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-179.9993,0.0032,179.9084
0.2174,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-179.9995,0.0026,179.9084
0.2271,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-179.9995,0.0026,179.9084
0.2376,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,180.0000,0.0016,179.9084
0.2475,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9996,0.0007,179.9083
0.2573,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9996,0.0007,179.9083
0.2672,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,180.0000,0.0016,179.9083
0.2772,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9996,0.0007,179.9082
0.2874,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9996,0.0007,179.9082
0.2971,approaching,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.9999,0.0015,179.9082
